;${file_name};${transripted_speech}
0;english99.mp3;Please call Stella ask her to bring this thing for them from store six bottles of fresh know pays five six labs blue cheese and maybe snacks runner brother. Thought we also need a small plastic snake and a big toy frog for the kids. She could skip this things into three rent bags and we will go need her next Wednesday at the train station.
1;english98.mp3;Please call Stella as good to bring me things with her from the store six the fresh snow piece five six labs the Bluetooth and maybe a snack for her brother Bob we also need a small plastic snake and a big toy fraud for the kids she can scoop these things and the three read bags and we will go meet her Wednesday the train station.
2;english9.mp3;We've cost Stella as Kurt to bring these things with her from the store six afresh no piece five six last of blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three read bags and we will go meet her Wednesday at the train station.
3;english90.mp3;Please call, ask her to bring these things with her from the store six foods afresh soapies five six labs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three read bags and we'll go meet her Wednesday. I train station.
4;english91.mp3;Please Costello, ask her to bring least things with her from the store. Six movements of personal piece five six, seven so blue cheese and maybe that's not for brother Bob, we also need a small plastic snake, a big toy front for the kids. She can scoop these things to see right bags are gonna meet for Wednesday at the train station.
5;english93.mp3;Please call activity bring these things with her from the work experience as fresh no P. five, six labs and blue cheese and maybe a snack for her brother. We also need a small plastic snake and a deep sorry for the key is she can do these things into three read back and we will go meet her Wednesday at the train station.
6;english92.mp3;Please call Stella ask her to bring this things with her from the store six phones of fresh snow PS five six labs of glitches and maybe a snack for her brother Bob. We also need a small plastic snake and a big tie frog for the kids. She can scope these things in that to be read bags and we will go meet her Wednesday at the train station.
7;english96.mp3;Please call Stella as Chris bring you things with her from the store six hundreds of first no fees five, six labs and blue cheese and maybe snack for her. Brother Bob will also need a small plastic snake and the big tore frog for the kids. She can scoop these things into three read bags and we'll go meet her Wednesday at the train station.
8;english97.mp3;Please call stone. Ask her to bring these things with you from the store six bottles of personal piece, five, six labs blue cheese and maybe a snack for her brother Bob, we also need a small plastic snake and a big toys prompt for the kids. She can scoop these things into three read bags and we will go meet her Wednesday at the train station.
9;english95.mp3;Please call Stella, ask her to bring me things with her from the store six boons a fresh snow pies five six leads the blue cheese and maybe not for her brother Bob, we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three read back and we will go meet her Wednesday at the train station.
10;english94.mp3;Please pass Stella asked her to bring me things with her from the store six then afresh know pays five six lapse of blue cheese and a maybe a snack for her brother Bob we also need a small plastic snake and a big totally from for the kids she can scoop these things into three read bags and we will go meet her Wednesday at trying station.
11;demo.mp3;Please call Stella ask her to bring this thing with her from the store six spoons of fresh snow piece five thick slabs of blue cheese and maybe snacks for her brother bob. We also need a small plastic snake and a big toy frog for the kids. She could keep this things into three red bags and we will go meet her next Wednesday at the train station.
